species,中文名字
Taenia solium,
Thelazia callipaeda,
Toxocara canis,
Toxocara cati,
Trachipleistophora hominis,
Trematosphaeria grisea,
Trichinella britovi,
Trichinella nativa,
Trichinella nelsoni,
Trichinella pseudospiralis,
Trichinella spiralis,
Trichomonas vaginalis,
Trichuris trichiura,
Trichuris vulpis,
Trypanosoma brucei,
Trypanosoma cruzi,
Tubulinosema acridophagus,
Tunga penetrans,
Uncinaria stenocephala,
Wuchereria bancrofti,
[Candida] auris,
Middle East respiratory syndrome-related coronavirus,中东呼吸综合征冠状病毒
Hepatitis B virus,乙型肝炎病毒
Tanapox virus,塔那痘病毒
Mumps rubulavirus,腮腺炎病毒
Human astrovirus,人类星状病毒
Human immunodeficiency virus,人类免疫缺陷病毒
Human mastadenovirus A,人类哺乳动物腺病毒
Human mastadenovirus B,人类哺乳动物腺病毒
Human mastadenovirus C,人类哺乳动物腺病毒
Human mastadenovirus D,人类哺乳动物腺病毒
Human mastadenovirus F,人类哺乳动物腺病毒
Cowpox virus,牛痘病毒
Nipah henipavirus,尼帕病毒
Machupo mammarenavirus,马秋波病毒
Marburg marburgvirus,马尔堡病毒
Ross River virus,罗斯河病毒
Rotavirus A,轮状病毒
Rotavirus C,轮状病毒
Lassa mammarenavirus,拉沙病毒
Crimean-Congo hemorrhagic fever orthonairovirus,克里米亚-刚果出血热病毒
Hepatovirus A,甲型肝炎病毒
Chikungunya virus,基孔肯雅病毒
Monkeypox virus,猴痘病毒
Hendra henipavirus,亨德拉病毒
Human coronavirus 229E,冠状病毒
Human coronavirus HKU1,冠状病毒
Human coronavirus NL63,冠状病毒
Guanarito mammarenavirus,瓜纳瑞托病毒
Hepacivirus C,肝炎病毒
Black Creek Canal orthohantavirus,动物病毒
Hepatitis delta virus,丁型肝炎病毒
Enterovirus D,肠道病毒 D
Enterovirus C,肠道病毒 C
Enterovirus B,肠道病毒 B
Enterovirus A,肠道病毒 A
Rhinovirus A,鼻病毒
Rhinovirus C,鼻病毒
Alphapapillomavirus 4,
Alphapapillomavirus 7,
Alphapapillomavirus 9,
Barmah Forest virus,
Bayou orthohantavirus,
Bufavirus-3,
Bwamba orthobunyavirus,
Cali mammarenavirus,
Chapare mammarenavirus,
Dobrava-Belgrade orthohantavirus,
Dugbe orthonairovirus,
Eastern equine encephalitis virus,
Everglades virus,
Hantaan orthohantavirus,
Lujo mammarenavirus,
Lymphocytic choriomeningitis mammarenavirus,
Mammalian rubulavirus 5,
Mayaro virus,
Middelburg virus,
Mucambo virus,
Mupapillomavirus 1,
Norwalk virus,
Onyong-nyong virus,
Orf virus,
Orungo virus,
Parechovirus A,
Pseudocowpox virus,
Puumala orthohantavirus,
Salivirus A,
Semliki Forest virus,
Seoul orthohantavirus,
Severe acute respiratory syndrome-related coronavirus,
Sin Nombre orthohantavirus,
Sindbis virus,
Spondweni virus,
Tonate virus,
Vaccinia virus,
Variola virus,
Venezuelan equine encephalitis virus,
Western equine encephalitis virus,
Whitewater Arroyo mammarenavirus,
Yaba monkey tumor virus,
Betapolyomavirus hominis,
Human bocavirus,
Paslahepevirus balayani,
Aichivirus A,
Akhmeta virus,
Alphainfluenzavirus influenzae,
Alphapolyomavirus octihominis,
Alphapolyomavirus quintihominis,
Bandavirus bhanjanagarense,
Bandavirus dabieense,
Banna virus,
Betacoronavirus 1,
Betainfluenzavirus influenzae,
Betapolyomavirus quartihominis,
Betapolyomavirus secuhominis,
Bhanja bandavirus,
Borna disease virus,
Bunyamwera orthobunyavirus,
Cache Valley orthobunyavirus,
California encephalitis orthobunyavirus,
Cardiovirus A,
Colorado tick fever coltivirus,
Coxsackievirus,
Cytomegalovirus humanbeta5,
Deltapolyomavirus decihominis,
Echovirus,
Erythroparvovirus primate1,
European bat lyssavirus,
Gammainfluenzavirus influenzae,
Guaroa orthobunyavirus,
Heartland bandavirus,
Huaiyangshan banyangvirus,
Human adenovirus sp.,
Human betaherpesvirus 6,
Human parechovirus,
Human rhinovirus sp.,
Human torovirus,
Ilesha orthobunyavirus,
Jamestown Canyon orthobunyavirus,
La Crosse orthobunyavirus,
Lymphocryptovirus humangamma4,
Lyssavirus australis,
Lyssavirus duvenhage,
Lyssavirus mokola,
Lyssavirus rabies,
Mammalian orthoreovirus,
Mammarenavirus brazilense,
Mammarenavirus juninense,
Metapneumovirus hominis,
Molluscum contagiosum virus,
Morbillivirus hominis,
Nairobi sheep disease orthonairovirus,
Naples phlebovirus,
Oropouche orthobunyavirus,
Orthoavulavirus javaense,
Orthobunyavirus bunyamweraense,
Orthobunyavirus cacheense,
Orthobunyavirus guaroaense,
Orthobunyavirus ileshaense,
Orthobunyavirus khatangaense,
Orthobunyavirus lacrosseense,
Orthobunyavirus oropoucheense,
Orthoebolavirus bundibugyoense,
Orthoebolavirus sudanense,
Orthoebolavirus zairense,
Orthoflavivirus denguei,
Orthoflavivirus encephalitidis,
Orthoflavivirus flavi,
Orthoflavivirus ilheusense,
Orthoflavivirus japonicum,
Orthoflavivirus kyasanurense,
Orthoflavivirus louisense,
Orthoflavivirus loupingi,
Orthoflavivirus murrayense,
Orthoflavivirus nilense,
Orthoflavivirus omskense,
Orthoflavivirus powassanense,
Orthoflavivirus wesselsbronense,
Orthoflavivirus zikaense,
Orthohantavirus andesense,
Orthohantavirus sinnombreense,
Orthonairovirus nairobiense,
Orthopneumovirus hominis,
Orthorubulavirus hominis,
Orthorubulavirus laryngotracheitidis,
Parechovirus B,
Pegivirus C,
Pegivirus hominis,
Phlebovirus napoliense,
Phlebovirus riftense,
Phlebovirus siciliaense,
Phlebovirus toscanaense,
Primate T-lymphotropic virus 1,
Primate T-lymphotropic virus 2,
Primate erythroparvovirus 1,
Punta Toro phlebovirus,
Respirovirus laryngotracheitidis,
Respirovirus pneumoniae,
Rhadinovirus humangamma8,
Rift Valley fever phlebovirus,
Rosavirus A,
Roseolovirus humanbeta6a,
Roseolovirus humanbeta6b,
Roseolovirus humanbeta7,
Rotavirus B,
Rubivirus rubellae,
Russian Spring-Summer encephalitis virus,
Sandfly fever Naples phlebovirus,
Sapporo virus,
Sicilian phlebovirus,
Simplexvirus humanalpha1,
Simplexvirus humanalpha2,
Simplexvirus macacinealpha1,
Snowshoe hare orthobunyavirus,
Thogotovirus bourbonense,
Thogotovirus dhoriense,
Toscana phlebovirus,
Uukuniemi phlebovirus,
Uukuniemi uukuvirus,
Uukuvirus uukuniemiense,
Varicellovirus humanalpha3,
Vesicular stomatitis virus,
Vesiculovirus chandipura,
Vesiculovirus isfahan,
unidentified human coronavirus,
